time,q1,u1,q2,u2,total_energy,hip_x,hip_vx,hip_y,hip_vy
26.2574368304,0.0161820044,-0.1000000000,-0.0838179956,-0.3000000000,1005.0232511572,-0.0161812981,0.0999869074,0.9998690742,0.0016181298
26.3079418809,0.0111383975,-0.0997694088,-0.0988504617,-0.2952033038,1005.0232511572,-0.0111381672,0.0997632199,0.9999379687,0.0011112484
26.3584469314,0.0060999888,-0.0997941084,-0.1136283057,-0.2899192727,1005.0232511572,-0.0060999510,0.0997922518,0.9999813951,0.0006087392
26.4089519819,0.0010538864,-0.1000741386,-0.1281272822,-0.2841628120,1005.0232511572,-0.0010538862,0.1000740831,0.9999994447,0.0001054668
26.4594570324,-0.0040128196,-0.1006101821,-0.1423239516,-0.2779509130,1005.0232511572,0.0040128089,0.1006093721,0.9999919487,-0.0004037294
26.5099620829,-0.0091130902,-0.1014035664,-0.1561957836,-0.2713025859,1005.0232511572,0.0091129641,0.1013993557,0.9999584761,-0.0009240871
26.5604671334,-0.0142599694,-0.1024562672,-0.1697212577,-0.2642387911,1005.0232511572,0.0142594861,0.1024458503,0.9998983284,-0.0014609737
26.6109721839,-0.0194666176,-0.1037709133,-0.1828799597,-0.2567823685,1005.0232511572,0.0194653881,0.1037512520,0.9998105314,-0.0020199411
26.6614772344,-0.0247463446,-0.1053507926,-0.1956526748,-0.2489579662,1005.0232511572,0.0247438190,0.1053185368,0.9996938248,-0.0026067809
26.7119822849,-0.0301126432,-0.1071998603,-0.2080214773,-0.2407919688,1005.0232511572,0.0301080925,0.1071512611,0.9995466486,-0.0032275833
26.7624873354,-0.0355792227,-0.1093227475,-0.2199698164,-0.2323124255,1005.0232511572,0.0355717167,0.1092535600,0.9993671262,-0.0038887978
26.8129923859,-0.0411600439,-0.1117247724,-0.2314825985,-0.2235489801,1005.0232511572,0.0411484230,0.1116301465,0.9991530450,-0.0045972982
26.8634974364,-0.0468693534,-0.1144119521,-0.2425462659,-0.2145328016,1005.0232511572,0.0468521954,0.1142863087,0.9989018329,-0.0053604511
26.9140024869,-0.0527217202,-0.1173910163,-0.2531488722,-0.2052965173,1005.0232511572,0.0526972995,0.1172279052,0.9986105320,-0.0061861895
26.9645075374,-0.0587320709,-0.1206694220,-0.2632801544,-0.1958741479,1005.0232511572,0.0586983111,0.1204613598,0.9982757677,-0.0070830913
27.0150125880,-0.0649157277,-0.1242553701,-0.2729316014,-0.1863010466,1005.0232511572,0.0648701443,0.1239936527,0.9978937140,-0.0080604638
27.0655176385,-0.0712884463,-0.1281578230,-0.2820965203,-0.1766138401,1005.0232511572,0.0712280798,0.1278323092,0.9974600547,-0.0091284356
27.1160226890,-0.0778664543,-0.1323865238,-0.2907700987,-0.1668503741,1005.0232511572,0.0777877917,0.1319853845,0.9969699391,-0.0102980553
27.1665277395,-0.0846664918,-0.1369520162,-0.2989494658,-0.1570496629,1005.0232511572,0.0845653740,0.1364614449,0.9964179332,-0.0115813985
27.2170327900,-0.0917058521,-0.1418656666,-0.3066337491,-0.1472518421,1005.0232511572,0.0915773656,0.1412695420,0.9957979645,-0.0129916840
27.2675378405,-0.0990024235,-0.1471396868,-0.3138241311,-0.1374981267,1005.0232511572,0.0988407744,0.1464191822,0.9951032616,-0.0145434006
27.3180428910,-0.1065747332,-0.1527871575,-0.3205239021,-0.1278307728,1005.0232511572,0.1063730987,0.1519202870,0.9943262864,-0.0162524434
27.3685479415,-0.1144419915,-0.1588220539,-0.3267385121,-0.1182930443,1005.0232511572,0.1141923478,0.1577831447,0.9934586593,-0.0181362632
27.4190529920,-0.1226241375,-0.1652592705,-0.3324756210,-0.1089291846,1005.0232511572,0.1223170585,0.1640183513,0.9924910766,-0.0202140279
27.4695580425,-0.1311418863,-0.1721146485,-0.3377451475,-0.0997843922,1005.0232511572,0.1307663088,0.1706367379,0.9914132198,-0.0225067973
27.5200630930,-0.1400167778,-0.1794050024,-0.3425593167,-0.0909048022,1005.0232511572,0.1395597282,0.1776492831,0.9902136549,-0.0250377134
27.5705681435,-0.1492712259,-0.1871481471,-0.3469327072,-0.0823374726,1005.0232511572,0.1487175021,0.1850670077,0.9888797220,-0.0278322050
27.6210731940,-0.1589285704,-0.1953629259,-0.3508822972,-0.0741303764,1005.0232511572,0.1582603708,0.1929008480,0.9873974149,-0.0309182091
27.6715782445,-0.1690131291,-0.2040692368,-0.3544275110,-0.0663323996,1005.0232511572,0.1682096219,0.2011615049,0.9857512481,-0.0343264092
27.7179628174,-0.1786729949,-0.2125162149,-0.3573459897,-0.0595737030,1005.0232511572,0.1777238505,0.2091330417,0.9840803996,-0.0377692000
27.7684678679,0.1688307131,-0.1907692052,0.3564995979,-0.0210314108,1005.4594729675,0.1874178987,0.1880568326,0.9857819158,0.0320549118
27.8189729184,0.1593952886,-0.1829520850,0.3552129545,-0.0300013042,1005.4594729675,0.1967265112,0.1806328827,0.9873234444,0.0290383726
27.8694779689,0.1503429347,-0.1755965297,0.3534613188,-0.0394371702,1005.4594729675,0.2056704935,0.1736157608,0.9887197723,0.0263003579
27.9199830194,0.1416507977,-0.1686845906,0.3512223552,-0.0492916307,1005.4594729675,0.2142701311,0.1669950946,0.9899842896,0.0238144806
27.9704880699,0.1332969045,-0.1621993361,0.3484761084,-0.0595178225,1005.4594729675,0.2225451841,0.1607604844,0.9911291142,0.0215567000
28.0209931204,0.1252601120,-0.1561248252,0.3452049760,-0.0700694224,1005.4594729675,0.2305148894,0.1549016191,0.9921652043,0.0195051134
28.0714981709,0.1175200579,-0.1504460803,0.3413936813,-0.0809006760,1005.4594729675,0.2381979673,0.1494083727,0.9931024620,0.0176397629
28.1220032214,0.1100571124,-0.1451490615,0.3370292431,-0.0919664281,1005.4594729675,0.2456126332,0.1442708845,0.9939498266,0.0159424570
28.1725082719,0.1028523317,-0.1402206410,0.3321009452,-0.1032221575,1005.4594729675,0.2527766125,0.1394796254,0.9947153601,0.0143966059
28.2230133224,0.0958874125,-0.1356485789,0.3266003029,-0.1146240132,1005.4594729675,0.2597071589,0.1350254532,0.9954063234,0.0129870685
28.2735183729,0.0891446477,-0.1314214990,0.3205210287,-0.1261288549,1005.4594729675,0.2664210751,0.1308996567,0.9960292465,0.0117000126
28.3240234234,0.0826068836,-0.1275288673,0.3138589948,-0.1376942962,1005.4594729675,0.2729347356,0.1270939927,0.9965899912,0.0105227850
28.3745284739,0.0762574775,-0.1239609698,0.3066121943,-0.1492787515,1005.4594729675,0.2792641109,0.1236007153,0.9970938073,0.0094437917
28.4250335245,0.0700802571,-0.1207088933,0.2987806992,-0.1608414870,1005.4594729675,0.2854247934,0.1204125993,0.9975453836,0.0084523877
28.4755385750,0.0640594805,-0.1177645065,0.2903666162,-0.1723426749,1005.4594729675,0.2914320242,0.1175229589,0.9979488930,0.0075387746
28.5260436255,0.0581797969,-0.1151204429,0.2813740392,-0.1837434523,1005.4594729675,0.2973007207,0.1149256629,0.9983080330,0.0066939061
28.5765486760,0.0524262088,-0.1127700845,0.2718089995,-0.1950059844,1005.4594729675,0.3030455047,0.1126151453,0.9986260611,0.0059094001
28.6270537265,0.0467840342,-0.1107075479,0.2616794116,-0.2060935309,1005.4594729675,0.3086807314,0.1105864147,0.9989058267,0.0051774565
28.6775587770,0.0412388700,-0.1089276711,0.2509950165,-0.2169705183,1005.4594729675,0.3142205189,0.1088350606,0.9991497983,0.0044907809
28.7280638275,0.0357765559,-0.1074260017,0.2397673211,-0.2276026144,1005.4594729675,0.3196787768,0.1073572584,0.9993600873,0.0038425125
28.7785688780,0.0303831386,-0.1061987873,0.2280095327,-0.2379568081,1005.4594729675,0.3250692369,0.1061497732,0.9995384679,0.0032261561
28.8290739285,0.0250448371,-0.1052429667,0.2157364913,-0.2480014923,1005.4594729675,0.3304054821,0.1052099619,0.9996863945,0.0026355174
28.8795789790,0.0197480074,-0.1045561625,0.2029645955,-0.2577065502,1005.4594729675,0.3357009772,0.1045357756,0.9998050144,0.0020646417
28.9300840295,0.0144791087,-0.1041366760,0.1897117256,-0.2670434442,1005.4594729675,0.3409690983,0.1041257603,0.9998951795,0.0015077536
28.9805890800,0.0092246686,-0.1039834825,0.1759971615,-0.2759853080,1005.4594729675,0.3462231633,0.1039790583,0.9999574530,0.0009591996
29.0310941305,0.0039712498,-0.1040962293,0.1618414957,-0.2845070393,1005.4594729675,0.3514764617,0.1040954084,0.9999921146,0.0004133910
29.0815991810,-0.0012945841,-0.1044752338,0.1472665421,-0.2925853953,1005.4594729675,0.3567422848,0.1044751463,0.9999991620,-0.0001352519
29.1321042315,-0.0065863028,-0.1051214847,0.1322952392,-0.3001990874,1005.4594729675,0.3620339563,0.1051192047,0.9999783104,-0.0006923569
29.1826092820,-0.0119174426,-0.1060366432,0.1169515496,-0.3073288763,1005.4594729675,0.3673648616,0.1060291134,0.9999289881,-0.0012636557
29.2331143325,-0.0173016409,-0.1072230468,0.1012603539,-0.3139576671,1005.4594729675,0.3727484788,0.1072069988,0.9998503303,-0.0018550421
29.2836193830,-0.0227526702,-0.1086837141,0.0852473397,-0.3200706014,1005.4594729675,0.3781984083,0.1086555834,0.9997411692,-0.0024726314
29.3341244335,-0.0282844730,-0.1104223512,0.0689388869,-0.3256551487,1005.4594729675,0.3837284030,0.1103781846,0.9996000210,-0.0031228216
29.3846294841,-0.0339111964,-0.1124433597,0.0523619474,-0.3307011939,1005.4594729675,0.3893523984,0.1123787127,0.9994250705,-0.0038123581
29.4351345346,-0.0396472275,-0.1147518465,0.0355439212,-0.3352011224,1005.4594729675,0.3950845424,0.1146616690,0.9992141516,-0.0045484007
29.4856395851,-0.0455072293,-0.1173536345,0.0185125282,-0.3391499006,1005.4594729675,0.4009392252,0.1172321411,0.9989647247,-0.0053385957
29.5361446356,-0.0515061776,-0.1202552750,0.0012956757,-0.3425451524,1005.4594729675,0.4069311083,0.1200957985,0.9986738501,-0.0061911513
29.5866496861,-0.0576593972,-0.1234640626,-0.0160786779,-0.3453872309,1005.4594729675,0.4130751545,0.1232588848,0.9983381574,-0.0071149195
29.6371547366,-0.0639826009,-0.1269880498,-0.0335826622,-0.3476792857,1005.4594729675,0.4193866559,0.1267282083,0.9979538116,-0.0081194832
29.6876597871,-0.0704919275,-0.1308360647,-0.0511886376,-0.3494273251,1005.4594729675,0.4258812627,0.1305111297,0.9975164727,-0.0092152500
29.7381648376,-0.0772039816,-0.1350177291,-0.0688693416,-0.3506402733,1005.4594729675,0.4325750104,0.1346155454,0.9970212526,-0.0104135542
29.7770706361,-0.0825235003,-0.1384730594,-0.0825235003,-0.3512171642,1005.4594729675,0.4378775673,0.1380018173,0.9965968679,-0.0114143158
