time,q1,u1,q2,u2,total_energy,hip_x,hip_vx,hip_y,hip_vy
0.0000000000,-0.0100000000,-0.1000000000,-0.0100000000,-0.3000000000,1004.8643644351,0.0099998333,0.0999950000,0.9999500004,-0.0009999833
0.0505050505,-0.0150769077,-0.1010883979,-0.0251588996,-0.3002089303,1004.8643644351,0.0150763365,0.1010769087,0.9998863456,-0.0015240427
0.1010101010,-0.0202153027,-0.1024354133,-0.0403157318,-0.2999188237,1004.8643644351,0.0202139259,0.1024144835,0.9997956777,-0.0020706219
0.1515151515,-0.0254283297,-0.1040444416,-0.0554454165,-0.2991349573,1004.8643644351,0.0254255895,0.1040108059,0.9996767174,-0.0026453913
0.2020202020,-0.0307293211,-0.1059195347,-0.0705231976,-0.2978648896,1004.8643644351,0.0307244851,0.1058695292,0.9995278916,-0.0032543232
0.2525252525,-0.0361318309,-0.1080654103,-0.0855247582,-0.2961184579,1004.8643644351,0.0361239697,0.1079948777,0.9993473164,-0.0039037516
0.3030303030,-0.0416496682,-0.1104874628,-0.1004263359,-0.2939077707,1004.8643644351,0.0416376277,0.1103916457,0.9991327779,-0.0046004358
0.3535353535,-0.0472969321,-0.1131917758,-0.1152048367,-0.2912471962,1004.8643644351,0.0472793002,0.1130651944,0.9988817086,-0.0053516279
0.4040404040,-0.0530880466,-0.1161851349,-0.1298379492,-0.2881533467,1004.8643644351,0.0530631134,0.1160214487,0.9985911606,-0.0061651450
0.4545454545,-0.0590377964,-0.1194750440,-0.1443042571,-0.2846450604,1004.8643644351,0.0590035067,0.1192668916,0.9982577754,-0.0070494466
0.5050505051,-0.0651613636,-0.1230697409,-0.1585833514,-0.2807433799,1004.8643644351,0.0651152608,0.1228085560,0.9978777494,-0.0080137183
0.5555555556,-0.0714743653,-0.1269782156,-0.1726559412,-0.2764715292,1004.8643644351,0.0714135254,0.1266540142,0.9974467948,-0.0090679620
0.6060606061,-0.0779928923,-0.1312102300,-0.1865039628,-0.2718548895,1004.8643644351,0.0779138460,0.1308113635,0.9969600958,-0.0102230936
0.6565656566,-0.0847335479,-0.1357763380,-0.2001106885,-0.2669209745,1004.8643644351,0.0846321897,0.1352892078,0.9964122603,-0.0114910488
0.7070707071,-0.0917134893,-0.1406879076,-0.2134608336,-0.2616994063,1004.8643644351,0.0915849708,0.1400966336,0.9957972651,-0.0128848979
0.7575757576,-0.0989504685,-0.1459571440,-0.2265406620,-0.2562218928,1004.8643644351,0.0987890737,0.1452431794,0.9951083956,-0.0144189711
0.8080808081,-0.1064628760,-0.1515971142,-0.2393380914,-0.2505222070,1004.8643644351,0.1062618754,0.1507387985,0.9943381788,-0.0161089937
0.8585858586,-0.1142697841,-0.1576217716,-0.2518427970,-0.2446361699,1004.8643644351,0.1140212652,0.1565938112,0.9934783093,-0.0179722338
0.9090909091,-0.1223909930,-0.1640459826,-0.2640463146,-0.2386016375,1004.8643644351,0.1220856613,0.1628188476,0.9925195672,-0.0200276623
0.9595959596,-0.1308470774,-0.1708855530,-0.2759421429,-0.2324584929,1004.8643644351,0.1304740256,0.1694247768,0.9914517278,-0.0222961260
1.0101010101,-0.1396594344,-0.1781572559,-0.2875258463,-0.2262486447,1004.8643644351,0.1392058730,0.1764226211,0.9902634624,-0.0248005363
1.0606060606,-0.1488503333,-0.1858788592,-0.2987951570,-0.2200160329,1004.8643644351,0.1483012768,0.1838234533,0.9889422285,-0.0275660721
1.0677451690,-0.1501813665,-0.1870077029,-0.3003627330,-0.2191358122,1004.8643644351,0.1496174600,0.1849027365,0.9887439586,-0.0279796175
1.1182502195,0.1413362327,-0.1717214735,0.2997727417,-0.0154449364,1006.0070219049,0.1583687713,0.1700091786,0.9900286502,0.0241897426
1.1687552700,0.1328284518,-0.1652576830,0.2987950747,-0.0233422322,1006.0070219049,0.1667967146,0.1638019717,0.9911912640,0.0218864310
1.2192603206,0.1246364933,-0.1592123445,0.2974080472,-0.0316490030,1006.0070219049,0.1749208652,0.1579773219,0.9922429218,0.0197923321
1.2697653711,0.1167396034,-0.1535705665,0.2955919772,-0.0403257605,1006.0070219049,0.1827602931,0.1525253142,0.9931936676,0.0178870744
1.3202704216,0.1091177561,-0.1483184129,0.2933291682,-0.0493333787,1006.0070219049,0.1903335734,0.1474362984,0.9940525624,0.0161520749
1.3707754721,0.1017516057,-0.1434428778,0.2906038898,-0.0586331284,1006.0070219049,0.1976588024,0.1427009583,0.9948277702,0.0145703706
1.4212805226,0.0946224403,-0.1389318615,0.2874023569,-0.0681867124,1006.0070219049,0.2047536153,0.1383103688,0.9955266360,0.0131264635
1.4717855731,0.0877121369,-0.1347741477,0.2837127069,-0.0779563037,1006.0070219049,0.2116352074,0.1342560430,0.9961557561,0.0118061766
1.5222906236,0.0810031170,-0.1309593811,0.2795249749,-0.0879045854,1006.0070219049,0.2183203576,0.1305299706,0.9967210410,0.0105965210
1.5727956741,0.0744783037,-0.1274780472,0.2748310669,-0.0979947934,1006.0070219049,0.2248254525,0.1271246491,0.9972277730,0.0094855736
1.6233007246,0.0681210800,-0.1243214530,0.2696247308,-0.1081907613,1006.0070219049,0.2311665134,0.1240331088,0.9976806563,0.0084623632
1.6738057751,0.0619152475,-0.1214817085,0.2639015251,-0.1184569674,1006.0070219049,0.2373592235,0.1212489329,0.9980838633,0.0075167653
1.7243108256,0.0558449862,-0.1189517106,0.2576587848,-0.1287585845,1006.0070219049,0.2434189561,0.1187662737,0.9984410740,0.0066394044
1.7748158761,0.0498948156,-0.1167251280,0.2508955855,-0.1390615330,1006.0070219049,0.2493608039,0.1165798650,0.9987555119,0.0058215626
1.8253209266,0.0440495555,-0.1147963872,0.2436127036,-0.1493325354,1006.0070219049,0.2551996084,0.1146850319,0.9990299752,0.0050550947
1.8758259771,0.0382942884,-0.1131606609,0.2358125750,-0.1595391756,1006.0070219049,0.2609499903,0.1130776987,0.9992668633,0.0043323479
1.9263310276,0.0326143221,-0.1118138569,0.2274992497,-0.1696499593,1006.0070219049,0.2666263795,0.1117543943,0.9994682001,0.0036460867
1.9768360781,0.0269951525,-0.1107526094,0.2186783434,-0.1796343792,1006.0070219049,0.2722430460,0.1107122570,0.9996356530,0.0029894205
2.0273411286,0.0214224275,-0.1099742713,0.2093569867,-0.1894629816,1006.0070219049,0.2778141310,0.1099490375,0.9997705486,0.0023557357
2.0778461791,0.0158819105,-0.1094769081,0.1995437693,-0.1991074373,1006.0070219049,0.2833536771,0.1094631014,0.9998738851,0.0017386294
2.1283512296,0.0103594447,-0.1092592937,0.1892486819,-0.2085406148,1006.0070219049,0.2888756605,0.1092534310,0.9999463414,0.0011318454
2.1788562801,0.0048409177,-0.1093209076,0.1784830537,-0.2177366564,1006.0070219049,0.2943940211,0.1093196267,0.9999882828,0.0005292115
2.2293613307,-0.0006877747,-0.1096619330,0.1672594858,-0.2266710571,1006.0070219049,0.2999226946,0.1096619071,0.9999997635,-0.0000754227
2.2798663812,-0.0062407636,-0.1102832576,0.1555917813,-0.2353207456,1006.0070219049,0.3054756431,0.1102811100,0.9999805265,-0.0006882473
2.3303714317,-0.0118322429,-0.1111864753,0.1434948704,-0.2436641678,1006.0070219049,0.3110668868,0.1111786922,0.9999299998,-0.0013155547
2.3808764822,-0.0174765048,-0.1123738892,0.1309847319,-0.2516813721,1006.0070219049,0.3167105351,0.1123567285,0.9998472898,-0.0019638028
2.4313815327,-0.0231879757,-0.1138485167,0.1180783099,-0.2593540966,1006.0070219049,0.3224208177,0.1138179110,0.9997311709,-0.0026396801
2.4818865832,-0.0289812527,-0.1156140964,0.1047934263,-0.2666658569,1006.0070219049,0.3282121159,0.1155655469,0.9995800729,-0.0033501723
2.5323916337,-0.0348711402,-0.1176750952,0.0911486888,-0.2736020358,1006.0070219049,0.3340989934,0.1176035562,0.9993920634,-0.0041026332
2.5828966842,-0.0408726866,-0.1200367187,0.0771633943,-0.2801499730,1006.0070219049,0.3400962273,0.1199364674,0.9991648280,-0.0049048573
2.6334017347,-0.0470012221,-0.1227049219,0.0628574277,-0.2862990552,1006.0070219049,0.3462188388,0.1225694122,0.9988956459,-0.0057651581
2.6839067852,-0.0532723971,-0.1256864220,0.0482511564,-0.2920408071,1006.0070219049,0.3524821232,0.1255081184,0.9985813614,-0.0066924505
2.7344118357,-0.0597022204,-0.1289887124,0.0333653201,-0.2973689809,1006.0070219049,0.3589016800,0.1287588999,0.9982183517,-0.0076963386
2.7849168862,-0.0663070995,-0.1326200785,0.0182209157,-0.3022796470,1006.0070219049,0.3654934421,0.1323286445,0.9978024896,-0.0087872104
2.8354219367,-0.0731038805,-0.1365896149,0.0028390783,-0.3067712827,1006.0070219049,0.3722737045,0.1362247979,0.9973291011,-0.0099763395
2.8859269872,-0.0801098899,-0.1409072438,-0.0127590431,-0.3108448622,1006.0070219049,0.3792591519,0.1404553428,0.9967929185,-0.0112759940
2.9364320377,-0.0873429764,-0.1455837349,-0.0285524131,-0.3145039446,1006.0070219049,0.3864668851,0.1450287736,0.9961880266,-0.0126995553
2.9869370882,-0.0948215546,-0.1506307267,-0.0445202436,-0.3177547628,1006.0070219049,0.3939144463,0.1499540639,0.9955078037,-0.0142616459
3.0374421387,-0.1025646492,-0.1560607490,-0.0606421305,-0.3206063119,1006.0070219049,0.4016198421,0.1552406272,0.9947448556,-0.0159782676
3.0879471892,-0.1105919408,-0.1618872463,-0.0768981957,-0.3230704390,1006.0070219049,0.4096015646,0.1608982676,0.9938909416,-0.0178669522
3.1384522397,-0.1189238125,-0.1681246026,-0.0932692332,-0.3251619332,1006.0070219049,0.4178786099,0.1669371206,0.9929368937,-0.0199469232
3.1889572902,-0.1275813985,-0.1747881666,-0.1097368604,-0.3268986181,1006.0070219049,0.4264704927,0.1733675804,0.9918725266,-0.0222392725
3.2394623408,-0.1365866326,-0.1818942778,-0.1262836734,-0.3283014478,1006.0070219049,0.4353972573,0.1802002124,0.9906865387,-0.0247671500
3.2899673913,-0.1459622998,-0.1894602929,-0.1428934076,-0.3293946060,1006.0070219049,0.4446794839,0.1874456484,0.9893664027,-0.0275559697
3.3121406374,-0.1502015668,-0.1929319686,-0.1502015668,-0.3297836581,1006.0070219049,0.4488723528,0.1907597352,0.9887409361,-0.0288698445
