time,q1,u1,q2,u2,total_energy,hip_x,hip_vx,hip_y,hip_vy
29.7770706361,-0.0325235003,-0.1000000000,-0.1325235003,-0.3000000000,1004.1861236230,0.0325177668,0.0999471158,0.9994711576,-0.0032517767
29.8275756866,-0.0376292832,-0.1022320586,-0.1475571746,-0.2952533269,1004.1861236230,0.0376204036,0.1021596887,0.9992921021,-0.0038460113
29.8780807371,-0.0428543687,-0.1047253712,-0.1623391503,-0.2900363747,1004.1861236230,0.0428412529,0.1046292220,0.9990818921,-0.0044865661
29.9285857876,-0.0482121067,-0.1074861961,-0.1768462450,-0.2843720260,1004.1861236230,0.0481934315,0.1073612995,0.9988380215,-0.0051801286
29.9790908381,-0.0537161800,-0.1105214588,-0.1910564848,-0.2782852610,1004.1861236230,0.0536903514,0.1103620463,0.9985576329,-0.0059339360
30.0295958886,-0.0593806383,-0.1138387679,-0.2049492097,-0.2718031046,1004.1861236230,0.0593457478,0.1136381257,0.9982374879,-0.0067558468
30.0801009391,-0.0652199332,-0.1174464317,-0.2185051749,-0.2649545734,1004.1861236230,0.0651737060,0.1171967329,0.9978739339,-0.0076544192
30.1306059896,-0.0712489539,-0.1213534776,-0.2317066501,-0.2577706217,1004.1861236230,0.0711886877,0.1210455877,0.9974628668,-0.0086389948
30.1811110401,-0.0774830643,-0.1255696708,-0.2445375164,-0.2502840889,1004.1861236230,0.0774055577,0.1251929227,0.9969996889,-0.0097197904
30.2316160906,-0.0839381403,-0.1301055362,-0.2569833600,-0.2425296481,1004.1861236230,0.0838396091,0.1296474687,0.9964792622,-0.0109079973
30.2821211411,-0.0906306092,-0.1349723801,-0.2690315632,-0.2345437574,1004.1861236230,0.0905065883,0.1344184341,0.9958958567,-0.0122158896
30.3326261916,-0.0975774895,-0.1401823140,-0.2806713942,-0.2263646142,1004.1861236230,0.0974227180,0.1395154797,0.9952430929,-0.0136569420
30.3831312421,-0.1047964322,-0.1457482788,-0.2918940931,-0.2180321132,1004.1861236230,0.1046047200,0.1449486858,0.9945138775,-0.0152459579
30.4336362927,-0.1123057634,-0.1516840705,-0.3026929569,-0.2095878098,1004.1861236230,0.1120698346,0.1507285114,0.9937003332,-0.0169992087
30.4841413432,-0.1201245281,-0.1580043668,-0.3130634228,-0.2010748879,1004.1861236230,0.1198358390,0.1568657432,0.9927937206,-0.0189345859
30.5346463937,-0.1282725355,-0.1647247539,-0.3230031495,-0.1925381343,1004.1861236230,0.1279210621,0.1633714334,0.9917843525,-0.0210717655
30.5851514442,-0.1367704053,-0.1718617543,-0.3325120978,-0.1840239197,1004.1861236230,0.1363443961,0.1702568232,0.9906614990,-0.0234323871
30.6356564947,-0.1456396162,-0.1794328554,-0.3415926099,-0.1755801872,1004.1861236230,0.1451253041,0.1775332507,0.9894132838,-0.0260402477
30.6861615452,-0.1549025548,-0.1874565374,-0.3502494894,-0.1672564481,1004.1861236230,0.1542838216,0.1852120396,0.9880265697,-0.0289215110
30.7366665957,-0.1645825669,-0.1959523017,-0.3584900799,-0.1591037875,1004.1861236230,0.1638405530,0.1933043656,0.9864868338,-0.0321049335
30.7871716462,-0.1747040095,-0.2049406984,-0.3663243450,-0.1511748784,1004.1861236230,0.1738166602,0.2018210972,0.9847780301,-0.0356221077
30.8376766967,-0.1852923045,-0.2144433534,-0.3737649495,-0.1435240071,1004.1861236230,0.1842338423,0.2107726065,0.9828824402,-0.0395077230
30.8487072858,-0.1876695535,-0.2165894255,-0.3753391071,-0.1418954785,1004.1861236230,0.1865698759,0.2127864820,0.9824416936,-0.0404090622
