time,q1,u1,q2,u2,total_energy,hip_x,hip_vx,hip_y,hip_vy
23.3401924222,-0.0473341924,-0.1000000000,-0.1473341924,-0.3000000000,1003.4609835895,0.0473165188,0.0998879946,0.9988799463,-0.0047316519
23.3906974727,-0.0524588627,-0.1029801210,-0.1623684074,-0.2952756211,1003.4609835895,0.0524348054,0.1028384564,0.9986243494,-0.0053997426
23.4412025232,-0.0577406510,-0.1062231774,-0.1771522042,-0.2900874863,1003.4609835895,0.0577085720,0.1060461535,0.9983334717,-0.0061299879
23.4917075737,-0.0631930397,-0.1097373073,-0.1916627921,-0.2844609551,1003.4609835895,0.0631509893,0.1095182699,0.9980039842,-0.0069300195
23.5422126242,-0.0688299390,-0.1135313208,-0.2058787150,-0.2784235055,1003.4609835895,0.0687756042,0.1132624962,0.9976321548,-0.0078081852
23.5927176747,-0.0746657213,-0.1176147193,-0.2197799570,-0.2720046854,1003.4609835895,0.0745963641,0.1172870223,0.9972138098,-0.0087736304
23.6432227252,-0.0807152570,-0.1219977166,-0.2333480458,-0.2652360656,1003.4609835895,0.0806276428,0.1216005277,0.9967442918,-0.0098363883
23.6937277757,-0.0869939506,-0.1266912615,-0.2465661535,-0.2581511920,1003.4609835895,0.0868842645,0.1262121674,0.9962184121,-0.0110074771
23.7442328262,-0.0935177788,-0.1317070607,-0.2594191958,-0.2507855398,1003.4609835895,0.0933815273,0.1311315533,0.9956303985,-0.0122990065
23.7947378767,-0.1003033291,-0.1370576033,-0.2718939273,-0.2431764703,1003.4609835895,0.1001352257,0.1363687294,0.9949738371,-0.0137242940
23.8452429272,-0.1073678400,-0.1427561867,-0.2839790367,-0.2353631904,1003.4609835895,0.1071616720,0.1419341407,0.9942416085,-0.0152979917
23.8957479777,-0.1147292426,-0.1488169430,-0.2956652386,-0.2273867171,1003.4609835895,0.1144777152,0.1478385931,0.9934258164,-0.0170362236
23.9462530282,-0.1224062035,-0.1552548660,-0.3069453641,-0.2192898464,1003.4609835895,0.1221007581,0.1540932041,0.9925177101,-0.0189567368
23.9967580787,-0.1304181688,-0.1620858399,-0.3178144502,-0.2111171281,1003.4609835895,0.1300487715,0.1607093418,0.9915075981,-0.0210790644
24.0472631292,-0.1387854099,-0.1693266673,-0.3282698279,-0.2029148474,1003.4609835895,0.1383403055,0.1676985496,0.9903847535,-0.0234247029
24.0977681798,-0.1475290707,-0.1769950985,-0.3383112091,-0.1947310143,1003.4609835895,0.1469944954,0.1750724556,0.9891373101,-0.0260173052
24.1482732303,-0.1566712161,-0.1851098607,-0.3479407741,-0.1866153601,1003.4609835895,0.1560310637,0.1828426626,0.9877521486,-0.0288828885
24.1987782808,-0.1662348821,-0.1936906868,-0.3571632586,-0.1786193447,1003.4609835895,0.1654703158,0.1910206164,0.9862147710,-0.0320500591
24.2492833313,-0.1762441272,-0.2027583439,-0.3659860410,-0.1707961723,1003.4609835895,0.1753331276,0.1996174477,0.9845091642,-0.0355502546
24.2997883818,-0.1867240856,-0.2123346607,-0.3744192315,-0.1632008196,1003.4609835895,0.1856409255,0.2086437854,0.9826176503,-0.0394180029
24.3034881775,-0.1875110154,-0.2130567946,-0.3750220309,-0.1626549019,1003.4609835895,0.1864141191,0.2093221774,0.9824712597,-0.0397167947
24.3539932280,0.1777225151,-0.1894831200,0.3741067005,-0.0225605222,1003.7612764295,0.1960398163,0.1864985483,0.9842488780,0.0334984218
24.4044982785,0.1683632831,-0.1812202007,0.3727345250,-0.0318592133,1003.7612764295,0.2052592383,0.1786578105,0.9858603503,0.0303668878
24.4550033290,0.1594097587,-0.1734138388,0.3708807793,-0.0416223661,1003.7612764295,0.2140927616,0.1712151504,0.9873211476,0.0275269284
24.5055083795,0.1508393686,-0.1660449970,0.3685232640,-0.0518002438,1003.7612764295,0.2225602151,0.1641596052,0.9886452960,0.0249512534
24.5560134300,0.1426304755,-0.1590956313,0.3656422778,-0.0623436637,1003.7612764295,0.2306808705,0.1574800957,0.9898455060,0.0226150252
24.6065184805,0.1347623290,-0.1525486629,0.3622205889,-0.0732040193,1003.7612764295,0.2384734396,0.1511655486,0.9909332914,0.0204956449
24.6570235310,0.1272150175,-0.1463879493,0.3582434053,-0.0843333061,1003.7612764295,0.2459560773,0.1452049995,0.9919190767,0.0185725555
24.7075285815,0.1199694218,-0.1405982562,0.3536983436,-0.0956841500,1003.7612764295,0.2531463893,0.1395876776,0.9928122960,0.0168270593
24.7580336320,0.1130071694,-0.1351652300,0.3485753966,-0.1072098385,1003.7612764295,0.2600614439,0.1343030762,0.9936214823,0.0152421497
24.8085386825,0.1063105915,-0.1300753701,0.3428668986,-0.1188643554,1003.7612764295,0.2667177863,0.1293410100,0.9943543493,0.0138023563
24.8590437330,0.0998626798,-0.1253160037,0.3365674899,-0.1306024181,1003.7612764295,0.2731314567,0.1246916624,0.9950178650,0.0124936022
24.9095487835,0.0936470457,-0.1208752596,0.3296740784,-0.1423795191,1003.7612764295,0.2793180097,0.1203456228,0.9956183190,0.0113030732
24.9600538340,0.0876478807,-0.1167420450,0.3221857991,-0.1541519704,1003.7612764295,0.2852925351,0.1162939169,0.9961613828,0.0102190970
