time,q1,u1,q2,u2,total_energy,hip_x,hip_vx,hip_y,hip_vy
5.6566803155,0.0794386604,-0.1000000000,-0.0205613396,-0.3000000000,1002.5668767571,-0.0793551372,0.0996846409,0.9968464085,0.0079355137
5.7071853660,0.0744757604,-0.0965726468,-0.0355929751,-0.2951692380,1002.5668767571,-0.0744069312,0.0963049438,0.9972279622,0.0071856743
5.7576904165,0.0696796960,-0.0933919229,-0.0503680034,-0.2898389533,1002.5668767571,-0.0696233241,0.0931652936,0.9975733521,0.0065022561
5.8081954670,0.0650382166,-0.0904497863,-0.0648613061,-0.2840138827,1002.5668767571,-0.0649923747,0.0902585538,0.9978857606,0.0058785464
5.8587005175,0.0605394630,-0.0877387881,-0.0790480601,-0.2777009568,1002.5668767571,-0.0605024900,0.0875780547,0.9981680463,0.0053084151
5.9092055681,0.0561719375,-0.0852520553,-0.0929038458,-0.2709092187,1002.5668767571,-0.0561424024,0.0851175934,0.9984227715,0.0047862552
5.9597106186,0.0519244754,-0.0829832756,-0.1064047521,-0.2636497386,1002.5668767571,-0.0519011458,0.0828714330,0.9986522273,0.0043069271
6.0102156691,0.0477862166,-0.0809266822,-0.1195274761,-0.2559355278,1002.5668767571,-0.0477680319,0.0808343009,0.9988584560,0.0038657083
6.0607207196,0.0437465793,-0.0790770412,-0.1322494195,-0.2477814499,1002.5668767571,-0.0437326272,0.0790013859,0.9990432710,0.0034582468
6.1112257701,0.0397952323,-0.0774296390,-0.1445487792,-0.2392041317,1002.5668767571,-0.0397847294,0.0773683360,0.9992082742,0.0030805172
6.1617308206,0.0359220700,-0.0759802716,-0.1564046349,-0.2302218724,1002.5668767571,-0.0359143449,0.0759312546,0.9993548718,0.0027287817
6.2122358711,0.0321171861,-0.0747252348,-0.1677970305,-0.2208545534,1002.5668767571,-0.0321116648,0.0746866981,0.9994842875,0.0023995517
6.2627409216,0.0283708493,-0.0736613156,-0.1787070522,-0.2111235478,1002.5668767571,-0.0283670434,0.0736316724,0.9995975745,0.0020895537
6.3132459721,0.0246734779,-0.0727857848,-0.1891169014,-0.2010516302,1002.5668767571,-0.0246709745,0.0727636306,0.9996956252,0.0017956962
6.3637510226,0.0210156164,-0.0720963904,-0.1990099632,-0.1906628886,1002.5668767571,-0.0210140695,0.0720804700,0.9997791801,0.0015150386
6.4142560731,0.0173879109,-0.0715913526,-0.2083708708,-0.1799826363,1002.5668767571,-0.0173870347,0.0715805304,0.9998488341,0.0012447613
6.4647611236,0.0137810854,-0.0712693597,-0.2171855647,-0.1690373266,1002.5668767571,-0.0137806492,0.0712625921,0.9999050423,0.0009821380
6.5152661741,0.0101859186,-0.0711295649,-0.2254413485,-0.1578544692,1002.5668767571,-0.0101857425,0.0711258750,0.9999481240,0.0007245074
6.5657712246,0.0065932202,-0.0711715846,-0.2331269404,-0.1464625482,1002.5668767571,-0.0065931725,0.0711700376,0.9999782648,0.0004692465
6.6162762751,0.0029938077,-0.0713954972,-0.2402325199,-0.1348909437,1002.5668767571,-0.0029938033,0.0713951772,0.9999955186,0.0002137441
6.6667813256,-0.0006215172,-0.0718018437,-0.2467497713,-0.1231698546,1002.5668767571,0.0006215171,0.0718018298,0.9999998069,-0.0000446261
6.7172863761,-0.0042619917,-0.0723916291,-0.2526719233,-0.1113302246,1002.5668767571,0.0042619788,0.0723909716,0.9999909177,-0.0003085316
6.7677914266,-0.0079369156,-0.0731663244,-0.2579937848,-0.0994036711,1002.5668767571,0.0079368323,0.0731640198,0.9999685029,-0.0005807088
6.8182964771,-0.0116556749,-0.0741278706,-0.2627117770,-0.0874224151,1002.5668767571,0.0116554110,0.0741228354,0.9999320734,-0.0008639908
6.8688015276,-0.0154277653,-0.0752786832,-0.2668239621,-0.0754192152,1002.5668767571,0.0154271533,0.0752697246,0.9998809944,-0.0011613358
6.9193065782,-0.0192628170,-0.0766216580,-0.2703300693,-0.0634273022,1002.5668767571,0.0192616258,0.0766074429,0.9998144777,-0.0014758577
6.9698116287,-0.0231706185,-0.0781601777,-0.2732315165,-0.0514803166,1002.5668767571,0.0231685452,0.0781391974,0.9997315732,-0.0018108576
7.0203166792,-0.0271611415,-0.0798981205,-0.2755314297,-0.0396122476,1002.5668767571,0.0271578020,0.0798686507,0.9996311589,-0.0021698573
7.0708217297,-0.0312445665,-0.0818398688,-0.2772346591,-0.0278573727,1002.5668767571,0.0312394831,0.0817999250,0.9995119282,-0.0025566352
7.1213267802,-0.0354313081,-0.0839903197,-0.2783477922,-0.0162502001,1002.5668767571,0.0354238953,0.0839376054,0.9993723769,-0.0029752643
7.1718318307,-0.0397320417,-0.0863548967,-0.2788791638,-0.0048254103,1002.5668767571,0.0397215888,0.0862867442,0.9992107863,-0.0034301537
7.2223368812,-0.0441577298,-0.0889395620,-0.2788388636,0.0063822007,1002.5668767571,0.0441433807,0.0888528642,0.9990252059,-0.0039260929
7.2728419317,-0.0487196504,-0.0917508308,-0.2782387401,0.0173377782,1002.5668767571,0.0487003791,0.0916419622,0.9988134326,-0.0044683002
7.3233469822,-0.0534294243,-0.0947957860,-0.2770924027,0.0280064657,1002.5668767571,0.0534040071,0.0946605113,0.9985729878,-0.0050624748
7.3738520327,-0.0582990451,-0.0980820951,-0.2754152199,0.0383534615,1002.5668767571,0.0582660265,0.0979154626,0.9983010919,-0.0057148539
7.4243570832,-0.0633409087,-0.1016180269,-0.2732243154,0.0483440761,1002.5668767571,0.0632985625,0.1014142457,0.9979946352,-0.0064322750
7.4748621337,-0.0685678440,-0.1054124711,-0.2705385608,0.0579437897,1002.5668767571,0.0685141275,0.1051647672,0.9976501463,-0.0072222435
7.5253671842,-0.0739931452,-0.1094749578,-0.2673785656,0.0671183108,1002.5668767571,0.0739256451,0.1091754076,0.9972637560,-0.0080930069
7.5758722347,-0.0796306043,-0.1138156789,-0.2637666643,0.0758336347,1002.5668767571,0.0795464742,0.1134550150,0.9968311584,-0.0090536360
7.6263772852,-0.0854945452,-0.1184455101,-0.2597269000,0.0840561032,1002.5668767571,0.0853904321,0.1180128958,0.9963475669,-0.0101141133
7.6768823357,-0.0915998590,-0.1233760351,-0.2552850061,0.0917524645,1002.5668767571,0.0914718174,0.1228588014,0.9958076655,-0.0112854302
7.7273873862,-0.0979620400,-0.1286195697,-0.2504683836,0.0988899334,1002.5668767571,0.0978054321,0.1280029103,0.9952055554,-0.0125796926
7.7778924367,-0.1045972239,-0.1341891880,-0.2453060763,0.1054362516,1002.5668767571,0.1044066025,0.1334558033,0.9945346959,-0.0140102372
7.8283974872,-0.1115222260,-0.1400987490,-0.2398287427,0.1113597474,1002.5668767571,0.1112911988,0.1392284330,0.9937878391,-0.0155917577
7.8704670905,-0.1175244722,-0.1452913534,-0.2350489444,0.1157960303,1002.5668767571,0.1172541176,0.1442891255,0.9931019444,-0.0170360094
7.9209721410,0.1105241218,-0.1359838734,0.2346984288,-0.0100555194,1004.1008837697,0.1242089955,0.1351541575,0.9938984242,0.0149989179
7.9714771915,0.1037829168,-0.1310243196,0.2340274224,-0.0165713150,1004.1008837697,0.1309115239,0.1303193282,0.9946193852,0.0135736886
8.0219822420,0.0972837394,-0.1263975913,0.2330192634,-0.0234016539,1004.1008837697,0.1373778742,0.1257999415,0.9952716679,0.0122770437
8.0724872925,0.0910100750,-0.1220921438,0.2316588383,-0.0305159713,1004.1008837697,0.1436237451,0.1215868583,0.9958614409,0.0110962822
8.1229923431,0.0849459724,-0.1180972170,0.2299325722,-0.0378839251,1004.1008837697,0.1496643851,0.1176713891,0.9963942599,0.0100198226
8.1734973936,0.0790760043,-0.1144028127,0.2278284159,-0.0454754315,1004.1008837697,0.1555146157,0.1140453178,0.9968751216,0.0090370923
8.2240024441,0.0733852297,-0.1109996735,0.2253358324,-0.0532607024,1004.1008837697,0.1611888559,0.1107009193,0.9973085122,0.0081384272
8.2745074946,0.0678591567,-0.1078792633,0.2224457810,-0.0612102845,1004.1008837697,0.1667011469,0.1076309739,0.9976984508,0.0073149787
8.3250125451,0.0624837069,-0.1050337482,0.2191506990,-0.0692950991,1004.1008837697,0.1720651787,0.1048287778,0.9980485282,0.0065586283
8.3755175956,0.0572451801,-0.1024559791,0.2154444822,-0.0774864846,1004.1008837697,0.1772943156,0.1022881503,0.9983619421,0.0058619082
8.4260226461,0.0521302201,-0.1001394766,0.2113224623,-0.0857562391,1004.1008837697,0.1824016231,0.1000034399,0.9986415278,0.0052179289
8.4765276966,0.0471257814,-0.0980784155,0.2067813830,-0.0940766656,1004.1008837697,0.1873998950,0.0979695275,0.9988897859,0.0046203114
8.5270327471,0.0422190967,-0.0962676121,0.2018193731,-0.1024206177,1004.1008837697,0.1923016797,0.0961818286,0.9991089063,0.0040631243
8.5775377976,0.0373976441,-0.0947025121,0.1964359173,-0.1107615475,1004.1008837697,0.1971193078,0.0946362952,0.9993007896,0.0035408254
8.6280428481,0.0326491165,-0.0933791806,0.1906318253,-0.1190735549,1004.1008837697,0.2018649189,0.0933294155,0.9994670649,0.0030482061
8.6785478986,0.0279613898,-0.0922942922,0.1844091972,-0.1273314378,1004.1008837697,0.2065504888,0.0922582148,0.9996091058,0.0025803404
8.7290529491,0.0233224927,-0.0914451239,0.1777713872,-0.1355107445,1004.1008837697,0.2111878568,0.0914202548,0.9997280430,0.0021325349
8.7795579996,0.0187205764,-0.0908295488,0.1707229646,-0.1435878273,1004.1008837697,0.2157887523,0.0908136332,0.9998247751,0.0017002822
8.8300630501,0.0141438845,-0.0904460304,0.1632696714,-0.1515398973,1004.1008837697,0.2203648224,0.0904369837,0.9998999769,0.0012792156
8.8805681006,0.0095807234,-0.0902936195,0.1554183776,-0.1593450805,1004.1008837697,0.2249276585,0.0902894755,0.9999541052,0.0008650650
8.9310731511,0.0050194326,-0.0903719519,0.1471770340,-0.1669824760,1004.1008837697,0.2294888237,0.0903708134,0.9999874027,0.0004536140
8.9815782016,0.0004483555,-0.0906812470,0.1385546207,-0.1744322140,1004.1008837697,0.2340598798,0.0906812379,0.9999998995,0.0000406574
9.0320832521,-0.0041441908,-0.0912223088,0.1295610944,-0.1816755163,1004.1008837697,0.2386524142,0.0912215255,0.9999914129,-0.0003780416
9.0825883026,-0.0087699440,-0.0919965273,0.1202073312,-0.1886947565,1004.1008837697,0.2432780669,0.0919929895,0.9999615443,-0.0008067941
9.1330933532,-0.0134407275,-0.0930058816,0.1105050671,-0.1954735216,1004.1008837697,0.2479485580,0.0929974808,0.9999096748,-0.0012500291
9.1835984037,-0.0181684790,-0.0942529446,0.1004668350,-0.2019966744,1004.1008837697,0.2526757148,0.0942373889,0.9998349577,-0.0017123384
9.2341034542,-0.0229652818,-0.0957408886,0.0901058990,-0.2082504157,1004.1008837697,0.2574714985,0.0957156427,0.9997363095,-0.0021985232
9.2846085047,-0.0278433944,-0.0974734930,0.0794361846,-0.2142223475,1004.1008837697,0.2623480322,0.0974357120,0.9996123977,-0.0027136422
9.3351135552,-0.0328152817,-0.0994551521,0.0684722072,-0.2199015355,1004.1008837697,0.2673176278,0.0994016081,0.9994616270,-0.0032630631
9.3856186057,-0.0378936463,-0.1016908858,0.0572289959,-0.2252785728,1004.1008837697,0.2723928135,0.1016178841,0.9992821217,-0.0038525163
9.4361236562,-0.0430914605,-0.1041863507,0.0457220150,-0.2303456422,1004.1008837697,0.2775863611,0.1040896352,0.9990717067,-0.0044881527
9.4866287067,-0.0484219985,-0.1069478526,0.0339670824,-0.2350965789,1004.1008837697,0.2829113136,0.1068224973,0.9988278841,-0.0051766053
9.5371337572,-0.0538988696,-0.1099823610,0.0219802839,-0.2395269326,1004.1008837697,0.2883810118,0.1098226454,0.9985478075,-0.0059250552
9.5876388077,-0.0595360523,-0.1132975240,0.0097778858,-0.2436340298,1004.1008837697,0.2940091225,0.1130967894,0.9982282527,-0.0067413032
9.6381438582,-0.0653479289,-0.1169016859,-0.0026237569,-0.2474170346,1004.1008837697,0.2998096643,0.1166521690,0.9978655838,-0.0076338471
9.6886489087,-0.0713493208,-0.1208039045,-0.0152082946,-0.2508770102,1004.1008837697,0.3057970348,0.1204965452,0.9974557168,-0.0086119653
9.7391539592,-0.0775555257,-0.1250139714,-0.0279594806,-0.2540169796,1004.1008837697,0.3119860367,0.1246381891,0.9969940774,-0.0096858077
9.7896590097,-0.0839823544,-0.1295424322,-0.0408612718,-0.2568419863,1004.1008837697,0.3183919027,0.1290858670,0.9964755543,-0.0108664943
9.8401640602,-0.0906461702,-0.1344006089,-0.0538979319,-0.2593591556,1004.1008837697,0.3250303206,0.1338488203,0.9958944483,-0.0121662234
9.8906691107,-0.0975639279,-0.1396006230,-0.0670541386,-0.2615777559,1004.1008837697,0.3319174562,0.1389367402,0.9952444140,-0.0135983879
9.9411741612,-0.1047532155,-0.1451554197,-0.0803150930,-0.2635092614,1004.1008837697,0.3390699755,0.1443597354,0.9945183973,-0.0151777033
9.9916792117,-0.1122322960,-0.1510787938,-0.0936666326,-0.2651674160,1004.1008837697,0.3465050650,0.1501282913,0.9937085640,-0.0169203459
10.0421842622,-0.1200201512,-0.1573854158,-0.1070953479,-0.2665682998,1004.1008837697,0.3542404488,0.1562532203,0.9928062233,-0.0188441042
10.0926893127,-0.1281365264,-0.1640908589,-0.1205887021,-0.2677303981,1004.1008837697,0.3622944044,0.1627455997,0.9918017418,-0.0209685423
10.1431943633,-0.1366019769,-0.1712116272,-0.1341351540,-0.2686746748,1004.1008837697,0.3706857739,0.1696166966,0.9906844492,-0.0233151780
10.1689492351,-0.1410601580,-0.1750083226,-0.1410601580,-0.2690798179,1004.1008837697,0.3751010567,0.1732700528,0.9900675020,-0.0246049139
