time,q1,u1,q2,u2,total_energy,hip_x,hip_vx,hip_y,hip_vy
19.5450930762,0.0403054931,-0.1000000000,-0.0596945069,-0.3000000000,1004.5586351114,-0.0402945811,0.0999187844,0.9991878436,0.0040294581
19.5955981267,0.0352926853,-0.0985494951,-0.0747266014,-0.2951879209,1004.5586351114,-0.0352853591,0.0984881262,0.9993772778,0.0034773543
19.6461031772,0.0303467548,-0.0973510943,-0.0895031626,-0.2898825414,1004.5586351114,-0.0303420972,0.0973062712,0.9995395726,0.0029538364
19.6966082277,0.0254550489,-0.0964017498,-0.1039995457,-0.2840948787,1004.5586351114,-0.0254523000,0.0963705193,0.9996760377,0.0024536463
19.7471132782,0.0206050526,-0.0956990402,-0.1181917157,-0.2778380606,1004.5586351114,-0.0206035946,0.0956787255,0.9997877234,0.0019717442
19.7976183287,0.0157843577,-0.0952411650,-0.1320563523,-0.2711272531,1004.5586351114,-0.0157837023,0.0952293007,0.9998754296,0.0015032582
19.8481233792,0.0109806314,-0.0950269406,-0.1455709513,-0.2639795853,1004.5586351114,-0.0109804107,0.0950212118,0.9999397135,0.0010434348
19.8986284297,0.0061815849,-0.0950557982,-0.1587139214,-0.2564140717,1004.5586351114,-0.0061815455,0.0950539821,0.9999808941,0.0005875917
19.9491334802,0.0013749429,-0.0953277824,-0.1714646777,-0.2484515336,1004.5586351114,-0.0013749425,0.0953276922,0.9999990548,0.0001310702
19.9996385307,-0.0034515878,-0.0958435515,-0.1838037307,-0.2401145200,1004.5586351114,0.0034515809,0.0958429806,0.9999940433,-0.0003308118
20.0501435812,-0.0083103491,-0.0966043798,-0.1957127718,-0.2314272273,1004.5586351114,0.0083102535,0.0966010440,0.9999654692,-0.0008028069
20.1006486318,-0.0132137631,-0.0976121605,-0.2071747542,-0.2224154201,1004.5586351114,0.0132133785,0.0976036389,0.9999126995,-0.0012897864
20.1511536823,-0.0181743628,-0.0988694102,-0.2181739706,-0.2131063523,1004.5586351114,0.0181733623,0.0988530820,0.9998348508,-0.0017967896
20.2016587328,-0.0232048246,-0.1003792750,-0.2286961259,-0.2035286899,1004.5586351114,0.0232027422,0.1003522509,0.9997307801,-0.0023290744
20.2521637833,-0.0283179996,-0.1021455383,-0.2387284067,-0.1937124349,1004.5586351114,0.0283142150,0.1021045853,0.9995990722,-0.0028921707
20.3026688338,-0.0335269464,-0.1041726289,-0.2482595474,-0.1836888519,1004.5586351114,0.0335206657,0.1041140864,0.9994380246,-0.0034919359
20.3531738843,-0.0388449636,-0.1064656318,-0.2572798916,-0.1734903969,1004.5586351114,0.0388351953,0.1063853173,0.9992456293,-0.0041346136
20.4036789348,-0.0442856237,-0.1090302997,-0.2657814507,-0.1631506489,1004.5586351114,0.0442711495,0.1089234012,0.9990195520,-0.0048268967
20.4541839853,-0.0498628066,-0.1118730659,-0.2737579590,-0.1527042441,1004.5586351114,0.0498421469,0.1117340198,0.9987571078,-0.0055759938
20.5046890358,-0.0555907348,-0.1150010587,-0.2812049256,-0.1421868136,1004.5586351114,0.0555621069,0.1148234089,0.9984552330,-0.0063897011
20.5551940863,-0.0614840085,-0.1184221171,-0.2881196828,-0.1316349239,1004.5586351114,0.0614452780,0.1181983531,0.9981104537,-0.0072764799
20.6056991368,-0.0675576424,-0.1221448083,-0.2945014324,-0.1210860213,1004.5586351114,0.0675062649,0.1218661777,0.9977188503,-0.0082455398
20.6562041873,-0.0738271023,-0.1261784454,-0.3003512882,-0.1105783781,1004.5586351114,0.0737600555,0.1258347375,0.9972760171,-0.0093069291
20.7067092378,-0.0803083439,-0.1305331081,-0.3056723171,-0.1001510440,1004.5586351114,0.0802220479,0.1301124022,0.9967770177,-0.0104716333
20.7572142883,-0.0870178517,-0.1352196631,-0.3104695766,-0.0898437982,1004.5586351114,0.0869080752,0.1347080372,0.9962163352,-0.0117516806
20.8077193388,-0.0939726793,-0.1402497863,-0.3147501508,-0.0796971068,1004.5586351114,0.0938344303,0.1396309785,0.9955878162,-0.0131602588
20.8582243893,-0.1011904909,-0.1456359868,-0.3185231841,-0.0697520812,1004.5586351114,0.1010178890,0.1448910019,0.9948846094,-0.0147118400
20.9087294398,-0.1086896041,-0.1513916309,-0.3217999126,-0.0600504404,1004.5586351114,0.1084757310,0.1504982837,0.9940990976,-0.0164223178
20.9592344903,-0.1164890338,-0.1575309677,-0.3245936942,-0.0506344757,1004.5586351114,0.1162257590,0.1564633521,0.9932228214,-0.0183091563
21.0097395408,-0.1246085372,-0.1640691553,-0.3269200363,-0.0415470178,1004.5586351114,0.1242863154,0.1627970282,0.9922463967,-0.0203915508
21.0602445914,-0.1330686608,-0.1710222883,-0.3287966224,-0.0328314068,1004.5586351114,0.1326762946,0.1695103526,0.9911594225,-0.0226906035
21.1107496419,-0.1418907881,-0.1784074250,-0.3302433375,-0.0245314651,1004.5586351114,0.1414151527,0.1766144982,0.9899503799,-0.0252295132
21.1612546924,-0.1510971889,-0.1862426151,-0.3312822912,-0.0166914731,1004.5586351114,0.1505229110,0.1841206638,0.9886065210,-0.0280337806
21.2117597429,-0.1607110705,-0.1945469279,-0.3319378408,-0.0093561481,1004.5586351114,0.1600201545,0.1920399470,0.9871137473,-0.0311314295
21.2389834715,-0.1660707118,-0.1992248071,-0.3321414236,-0.0056273497,1004.5586351114,0.1653084064,0.1964838569,0.9862419230,-0.0329335354
21.2894885220,0.1567557180,-0.1806348563,0.3314208253,-0.0183271726,1005.4261309672,0.1745022828,0.1784200851,0.9877389602,0.0281997257
21.3399935725,0.1478170926,-0.1734091875,0.3302821168,-0.0268419508,1005.4261309672,0.1833374304,0.1715181485,0.9890949315,0.0255395980
21.3904986230,0.1392322614,-0.1666217455,0.3287021848,-0.0357922830,1005.4261309672,0.1918339663,0.1650093198,0.9903228370,0.0231242402
21.4410036735,0.1309795164,-0.1602558859,0.3266601404,-0.0451343340,1005.4261309672,0.2000114814,0.1588832044,0.9914344393,0.0209302731
21.4915087240,0.1230379651,-0.1542959457,0.3241372975,-0.0548247078,1005.4261309672,0.2078890446,0.1531295260,0.9924403735,0.0189363971
21.5420137746,0.1153874818,-0.1487272172,0.3211171500,-0.0648204780,1005.4261309672,0.2154852107,0.1477382180,0.9933502475,0.0171232028
21.5925188251,0.1080086603,-0.1435359216,0.3175853476,-0.0750792196,1005.4261309672,0.2228180326,0.1426994995,0.9941727330,0.0154729973
21.6430238756,0.1008827671,-0.1387091840,0.3135296689,-0.0855590440,1005.4261309672,0.2299050783,0.1380039377,0.9949156479,0.0139696425
21.6935289261,0.0939916967,-0.1342350087,0.3089399939,-0.0962186369,1005.4261309672,0.2367634490,0.1336424996,0.9955860315,0.0125984071
21.7440339766,0.0873179279,-0.1301022566,0.3038082738,-0.1070172976,1005.4261309672,0.2434098008,0.1296065945,0.9961902113,0.0113458291
21.7945390271,0.0808444807,-0.1263006224,0.2981284991,-0.1179149821,1005.4261309672,0.2498603677,0.1258881074,0.9967338645,0.0101995893
21.8450440776,0.0745548751,-0.1228206141,0.2918966652,-0.1288723482,1005.4261309672,0.2561309866,0.1224794273,0.9972220724,0.0091483949
21.8955491281,0.0684330904,-0.1196535334,0.2851107356,-0.1398508044,1005.4261309672,0.2622371230,0.1193734687,0.9976593697,0.0081818715
21.9460541786,0.0624635253,-0.1167914572,0.2777706030,-0.1508125611,1005.4261309672,0.2681938986,0.1165636891,0.9980497882,0.0072904631
21.9965592291,0.0566309597,-0.1142272210,0.2698780470,-0.1617206861,1005.4261309672,0.2740161181,0.1140441029,0.9983968957,0.0064653401
22.0470642796,0.0509205165,-0.1119544033,0.2614366899,-0.1725391627,1005.4261309672,0.2797182988,0.1118092914,0.9987038306,0.0056983128
22.0975693301,0.0453176244,-0.1099673115,0.2524519485,-0.1832329516,1005.4261309672,0.2853146983,0.1098544116,0.9989733322,0.0049817517
22.1480743806,0.0398079813,-0.1082609694,0.2429309830,-0.1937680565,1005.4261309672,0.2908193446,0.1081752015,0.9992077669,0.0043085125
22.1985794311,0.0343775188,-0.1068311063,0.2328826432,-0.2041115930,1005.4261309672,0.2962460650,0.1067679853,0.9994091513,0.0036718650
22.2490844816,0.0290123665,-0.1056741468,0.2223174098,-0.2142318610,1005.4261309672,0.3016085163,0.1056296760,0.9995791708,0.0030654270
22.2995895321,0.0236988172,-0.1047872032,0.2112473332,-0.2240984203,1005.4261309672,0.3069202140,0.1047577786,0.9997191962,0.0024831003
22.3500945826,0.0184232923,-0.1041680686,0.1996859677,-0.2336821692,1005.4261309672,0.3121945627,0.1041503908,0.9998302960,0.0019190102
22.4005996331,0.0131723076,-0.1038152116,0.1876483017,-0.2429554263,1005.4261309672,0.3174448861,0.1038062053,0.9999132464,0.0013674464
22.4511046836,0.0079324393,-0.1037277728,0.1751506843,-0.2518920139,1005.4261309672,0.3226844567,0.1037245094,0.9999685384,0.0008228056
