time,q1,u1,q2,u2,total_energy,hip_x,hip_vx,hip_y,hip_vy
16.8438716791,-0.0697228755,-0.1000000000,-0.1697228755,-0.3000000000,1001.9487076040,0.0696663988,0.0997570345,0.9975703448,-0.0069666399
16.8943767296,-0.0748760643,-0.1041096230,-0.1847581058,-0.2953173539,1001.9487076040,0.0748061194,0.1038179179,0.9971980969,-0.0077880369
16.9448817801,-0.0802434659,-0.1084846002,-0.1995452886,-0.2901819986,1001.9487076040,0.0801573788,0.1081355207,0.9967822203,-0.0086958412
16.9953868306,-0.0858387562,-0.1131358956,-0.2140622872,-0.2846230986,1001.9487076040,0.0857333808,0.1127193423,0.9963181156,-0.0096995228
17.0458918811,-0.0916761815,-0.1180751490,-0.2282884924,-0.2786719831,1001.9487076040,0.0915478197,0.1175793138,0.9958006812,-0.0108095225
17.0963969316,-0.0977705940,-0.1233147018,-0.2422049314,-0.2723621065,1001.9487076040,0.0976149021,0.1227257830,0.9952242616,-0.0120373525
17.1469019821,-0.1041374872,-0.1288676230,-0.2557943737,-0.2657290094,1001.9487076040,0.1039493673,0.1281694943,0.9945825904,-0.0133957079
17.1974070326,-0.1107930335,-0.1347477371,-0.2690414358,-0.2588102822,1001.9487076040,0.1105665067,0.1339215620,0.9938687275,-0.0148985866
17.2479120831,-0.1177541234,-0.1409696517,-0.2819326836,-0.2516455314,1001.9487076040,0.1174821816,0.1399934355,0.9930749906,-0.0165614222
17.2984171336,-0.1250384056,-0.1475487873,-0.2944567336,-0.2442763492,1001.9487076040,0.1247128392,0.1463968559,0.9921928783,-0.0184012282
17.3489221841,-0.1326643285,-0.1545014067,-0.3066043528,-0.2367462892,1001.9487076040,0.1322755260,0.1531438008,0.9912129868,-0.0204367548
17.3994272347,-0.1406511839,-0.1618446453,-0.3183685567,-0.2291008470,1001.9487076040,0.1401878977,0.1602464161,0.9901249180,-0.0226886606
17.4499322852,-0.1490191517,-0.1695965418,-0.3297447074,-0.2213874483,1001.9487076040,0.1484682263,0.1677169336,0.9889171784,-0.0251796978
17.5004373357,-0.1577893463,-0.1777760690,-0.3407306109,-0.2136554453,1001.9487076040,0.1571354015,0.1755675690,0.9875770682,-0.0279349140
17.5509423862,-0.1669838646,-0.1864031643,-0.3513266145,-0.2059561214,1001.9487076040,0.1662089270,0.1838104006,0.9860905600,-0.0309818699
17.6014474367,-0.1766258354,-0.1954987597,-0.3615357047,-0.1983427071,1001.9487076040,0.1757089100,0.1924572225,0.9844421664,-0.0343508740
17.6421904157,-0.1847466691,-0.2031926296,-0.3694933382,-0.1923010601,1001.9487076040,0.1836975195,0.1997348637,0.9829828184,-0.0373259820
17.6926954662,0.1753977106,-0.1808417703,0.3686291942,-0.0215195078,1002.5484216968,0.1928952790,0.1780671541,0.9846572164,0.0315568455
17.7432005167,0.1664721632,-0.1726840614,0.3673114211,-0.0307416561,1002.5484216968,0.2016907177,0.1702967872,0.9861754803,0.0286144952
17.7937055672,0.1579475503,-0.1649615369,0.3655165776,-0.0404033109,1002.5484216968,0.2101034009,0.1629081281,0.9875521964,0.0259470704
17.8442106177,0.1498023740,-0.1576553007,0.3632237019,-0.0504556343,1002.5484216968,0.2181523163,0.1558896546,0.9888005915,0.0235289063
17.8947156682,0.1420160669,-0.1507474070,0.3604142857,-0.0608503088,1002.5484216968,0.2258558676,0.1492297809,0.9899326558,0.0213366631
17.9452207187,0.1345689442,-0.1442208300,0.3570722472,-0.0715395628,1002.5484216968,0.2332318742,0.1429169662,0.9909592551,0.0193491230
17.9957257692,0.1274421589,-0.1380594345,0.3531839029,-0.0824761977,1002.5484216968,0.2402975754,0.1369398047,0.9918902332,0.0175470039
18.0462308197,0.1206176566,-0.1322479466,0.3487379383,-0.0936136177,1002.5484216968,0.2470696398,0.1312870999,0.9927345054,0.0159127870
18.0967358702,0.1140781333,-0.1267719245,0.3437253758,-0.1049058631,1002.5484216968,0.2535641767,0.1259479252,0.9935001433,0.0144305575
18.1472409207,0.1078069941,-0.1216177308,0.3381395428,-0.1163076452,1002.5484216968,0.2597967519,0.1209116732,0.9941944521,0.0130858595
18.1977459712,0.1017883130,-0.1167725051,0.3319760357,-0.1277743854,1002.5484216968,0.2657824040,0.1161680954,0.9948240409,0.0118655619
18.2482510217,0.0960067944,-0.1122241378,0.3252326839,-0.1392622565,1002.5484216968,0.2715356639,0.1117073330,0.9953948866,0.0107577357
18.2987560722,0.0904477359,-0.1079612447,0.3179095103,-0.1507282278,1002.5484216968,0.2770705750,0.1075199414,0.9959123913,0.0097515416
18.3492611227,0.0850969924,-0.1039731427,0.3100086898,-0.1621301142,1002.5484216968,0.2824007143,0.1035969091,0.9963814354,0.0088371270
18.3997661732,0.0799409410,-0.1002498266,0.3015345055,-0.1734266282,1002.5484216968,0.2875392153,0.0999296712,0.9968064242,0.0080055325
18.4502712238,0.0749664474,-0.0967819475,0.2924933021,-0.1845774365,1002.5484216968,0.2924987900,0.0965101191,0.9971913316,0.0072486048
18.5007762743,0.0701608334,-0.0935607913,0.2828934355,-0.1955432197,1002.5484216968,0.2972917530,0.0933306072,0.9975397382,0.0065589189
18.5512813248,0.0655118455,-0.0905782592,0.2727452210,-0.2062857362,1002.5484216968,0.3019300441,0.0903839567,0.9978548664,0.0059297053
18.6017863753,0.0610076237,-0.0878268494,0.2620608764,-0.2167678899,1002.5484216968,0.3064252526,0.0876634574,0.9981396121,0.0053547843
18.6522914258,0.0566366725,-0.0852996395,0.2508544625,-0.2269538014,1002.5484216968,0.3107886407,0.0851628677,0.9983965723,0.0048285054
18.7027964763,0.0523878315,-0.0829902701,0.2391418203,-0.2368088813,1002.5484216968,0.3150311671,0.0828764134,0.9986280714,0.0043456919
18.7533015268,0.0482502477,-0.0808929300,0.2269405032,-0.2462999081,1002.5484216968,0.3191635109,0.0807987854,0.9988361826,0.0039015896
18.8038065773,0.0442133481,-0.0790023423,0.2142697063,-0.2553951069,1002.5484216968,0.3231960944,0.0789251372,0.9990227491,0.0034918201
18.8543116278,0.0402668128,-0.0773137514,0.2011501915,-0.2640642306,1002.5484216968,0.3271391069,0.0772510810,0.9991894014,0.0031123371
18.9048166783,0.0364005493,-0.0758229119,0.1876042078,-0.2722786420,1002.5484216968,0.3310025275,0.0757726848,0.9993375732,0.0027593862
18.9553217288,0.0326046670,-0.0745260776,0.1736554081,-0.2800113962,1002.5484216968,0.3347961485,0.0744864681,0.9994685149,0.0024294674
19.0058267793,0.0288694517,-0.0734199925,0.1593287618,-0.2872373232,1002.5484216968,0.3385295973,0.0733893988,0.9995833063,0.0021193005
19.0563318298,0.0251853418,-0.0725018826,0.1446504631,-0.2939331085,1002.5484216968,0.3422123596,0.0724788898,0.9996828660,0.0018257917
19.1068368803,0.0215429036,-0.0717694488,0.1296478349,-0.3000773725,1002.5484216968,0.3458538016,0.0717527955,0.9997679606,0.0015460027
19.1573419308,0.0179328078,-0.0712208612,0.1143492295,-0.3056507466,1002.5484216968,0.3494631924,0.0712094098,0.9998392115,0.0012771216
19.2078469813,0.0143458055,-0.0708547540,0.0987839252,-0.3106359459,1002.5484216968,0.3530497256,0.0708474631,0.9998971007,0.0010164337
19.2583520318,0.0107727053,-0.0706702221,0.0829820192,-0.3150178372,1002.5484216968,0.3566225420,0.0706661215,0.9999419750,0.0007612948
19.3088570823,0.0072043501,-0.0706668184,0.0669743171,-0.3187835016,1002.5484216968,0.3601907512,0.0706649846,0.9999740488,0.0005091041
19.3593621328,0.0036315937,-0.0708445528,0.0507922202,-0.3219222915,1002.5484216968,0.3637634533,0.0708440856,0.9999934058,0.0002572781
19.4098671833,0.0000452776,-0.0712038915,0.0344676089,-0.3244258800,1002.5484216968,0.3673497613,0.0712038914,0.9999999990,0.0000032239
19.4603722339,-0.0035637912,-0.0717457582,0.0180327247,-0.3262883043,1002.5484216968,0.3709588226,0.0717453026,0.9999936497,-0.0002556864
19.5108772844,-0.0072048645,-0.0724715363,0.0015200497,-0.3275060001,1002.5484216968,0.3745998412,0.0724696553,0.9999740451,-0.0005221431
19.5450930762,-0.0096945069,-0.0730686505,-0.0096945069,-0.3279639299,1002.5484216968,0.3770893940,0.0730652169,0.9999530086,-0.0007083534
