time,hinge_x,hinge_y,stance_x1,stance_y1,stance_x2,stance_y2,swing_x1,swing_y1,swing_x2,swing_y2,stance_angle,swing_angle
0,0,1.3,0,1.3,0,0,0,1.3,-0.25827013003358,0.0259134488063859,0,0.2
0.100118210693059,4.43559457477049e-05,1.29999999941208,4.43559457477049e-05,1.29999999941208,1.83578467097961e-15,1.68790981192046e-10,4.43559457477049e-05,1.29999999941208,-0.256951366840982,0.0256557765000256,-3.41199582726734e-05,0.198965729554167
0.200236421386117,0.000177300070836086,1.29999999063689,0.000177300070836086,1.29999999063689,1.19469050537807e-13,2.72739719697768e-09,0.000177300070836086,1.29999999063689,-0.253017997935864,0.0248952337375616,-0.000136384670204823,0.195882097499643
0.300354632079176,0.000399649444575257,1.29999995251545,0.000399649444575257,1.29999995251545,1.388510183567e-12,1.3946098498252e-08,0.000399649444575257,1.29999995251545,-0.246503240007189,0.0236618455937907,-0.000307422653447542,0.190778638032905
0.400472842772234,0.000712768873344844,1.29999984912476,0.000712768873344844,1.29999984912476,7.95123320483648e-12,4.45245660340987e-08,0.000712768873344844,1.29999984912476,-0.237462463217626,0.0220043253382289,-0.000548283770080865,0.183704195513839
0.500591053465293,0.00111857911662221,1.29999962868008,0.00111857911662221,1.29999962868008,3.09266442750228e-11,1.09918307344969e-07,0.00111857911662221,1.29999962868008,-0.225973324245083,0.0199881961422417,-0.000860445556709235,0.174726490933169
0.600709264158351,0.0016195683713625,1.29999922196098,0.0016195683713625,1.29999922196098,9.42933719386835e-11,2.30808064438648e-07,0.0016195683713625,1.29999922196098,-0.212135864069311,0.0176932463443555,-0.00124582207385934,0.163931513755088
0.70082747485141,0.00221880702931019,1.29999854022131,0.00221880702931019,1.29999854022131,2.43270707397936e-10,4.33724059334395e-07,0.00221880702931019,1.29999854022131,-0.196072491160866,0.0152104016311199,-0.00170677527946216,0.151422737984012
0.800945685544468,0.00291996572311561,1.29999747253031,0.00291996572311561,1.29999747253031,5.55873996572337e-10,7.51840826707095e-07,0.00291996572311561,1.29999747253031,-0.177927761068195,0.012638121100258,-0.00224612894037957,0.137320162109496
0.901063896237527,0.00372733669500998,1.29999588247839,0.00372733669500998,1.29999588247839,1.15855371390222e-09,1.22596252216667e-06,0.00372733669500998,1.29999588247839,-0.157867862218998,0.0100784464818247,-0.00286718511029003,0.121759174093408
1.00118210693059,0.00464585854675174,1.29999360416566,0.00464585854675174,1.29999360416566,2.24711685890833e-09,1.90572322344984e-06,0.00464585854675174,1.29999360416566,-0.136079725583174,0.00763285345736842,-0.00357374322219291,0.104889244790361
1.10130031762364,0.0056811444615339,1.29999043737427,0.0056811444615339,1.29999043737427,4.11449182970841e-09,2.85103186192792e-06,0.0056811444615339,1.29999043737427,-0.112769692453589,0.00539806939347987,-0.00437012186932237,0.0868724560783142
1.2014185283167,0.00683951402687857,1.29998614180594,0.00683951402687857,1.29998614180594,7.1873549082821e-09,4.13379729446994e-06,0.00683951402687857,1.29998614180594,-0.088161698940126,0.00346203114127674,-0.00526118337892928,0.0678818733951334
1.30153673900976,0.00812802883099241,1.2999804302441,0.00812802883099241,1.2999804302441,1.20742141042351e-08,5.83997565462013e-06,0.00812802883099241,1.2999804302441,-0.0624949660015242,0.00190015822665002,-0.00625236131829863,0.0480997761413186
1.40165494970282,0.00955453205184781,1.29997296047427,0.00955453205184781,1.29997296047427,1.96282777184531e-08,8.07198983787671e-06,0.00955453205184781,1.29997296047427,-0.0360212174379931,0.00077210954380913,-0.0073496911102484,0.0277157632854858
1.50177316039588,0.0111276923062495,1.29996332576688,0.0111276923062495,1.29996332576688,3.10293623191626e-08,1.09515798474291e-05,0.0111276923062495,1.29996332576688,-0.00900148224020709,0.000119174981073611,-0.00855984397466289,0.00692475523592088
1.60189137108894,0.0128570520730281,1.29995104369195,0.0128570520730281,1.29995104369195,4.78902706293333e-08,1.46231530693264e-05,0.0128570520730281,1.29995104369195,0.0182974311475303,-3.75725180226105e-05,-0.00989016445170487,-0.0140750836475448
1.702009581782,0.0147530810480198,1.2999355429954,0.0147530810480198,1.2999355429954,7.23945609345383e-08,1.92577155824214e-05,0.0147530810480198,1.2999355429954,0.0456066757767536,0.000301726994783591,-0.0113487117996636,-0.0350844748781464
1.80212779247505,0.0168272348266978,1.29991614821958,0.0168272348266978,1.29991614821958,1.07474520266021e-07,2.50574796372138e-05,0.0168272348266978,1.29991614821958,0.0726591925579982,0.00111562754833572,-0.012944305594654,-0.0559051791957233
1.90224600316811,0.0190920193418076,1.29989206169648,0.0190920193418076,1.29989206169648,1.57040550563536e-07,3.22612588044002e-05,0.0190920193418076,1.29989206169648,0.0991934854478858,0.00236219493900891,-0.014686575889766,-0.0763421438608052
2.00236421386117,0.0215610615073583,1.29986234247819,0.0215610615073583,1.29986234247819,2.26276214952692e-07,4.115078136957e-05,0.0215610615073583,1.29986234247819,0.124957212945936,0.00398069824222924,-0.0165860183175429,-0.0962056145850713
2.10248242455423,0.0242491865368272,1.29982588169546,0.0242491865368272,1.29982588169546,3.2201704031759e-07,5.20580747858101e-05,0.0242491865368272,1.29982588169546,0.149710477953552,0.0058940966480201,-0.0186540545422604,-0.115313184120985
2.20260063524729,0.0271725024130804,1.29978137374885,0.0271725024130804,1.29978137374885,4.53236048105626e-07,6.53740998817209e-05,0.0271725024130804,1.29978137374885,0.173228721668418,0.00801220674693082,-0.020903098488428,-0.133491751799591
