time,q1,u1,q2,u2,TE,xh,vxh,yh,vyh
0,0,0,0.2,0,1300.56904667025,0,-0,1.3,-0
0.0505050505050505,-8.6411286408206e-06,-0.000342233150931534,0.199737803143624,-0.0103808913024485,1300.56904667025,1.12334672329594e-05,0.000444903096198218,1.29999999996267,-2.95728068243301e-09
0.101010101010101,-3.4577988387105e-05,-0.000684999933931635,0.198951850072274,-0.0207365423675925,1300.56904667025,4.49513848963462e-05,0.000890499913701619,1.29999999940218,-2.36859197580115e-08
0.151515151515152,-7.78510215129808e-05,-0.00102883480486407,0.197644051862428,-0.031041769072924,1300.56904667025,0.000101206327888236,0.00133748524320552,1.29999999696961,-8.00958404487883e-08
0.202020202020202,-0.000138527701149118,-0.00137427386703814,0.195817588916866,-0.0412714995914191,1300.56904667025,0.000180086011050799,0.00178655601396348,1.29999999040504,-1.90374998944635e-07
0.252525252525253,-0.000216702635280974,-0.00172185569460052,0.193476903871929,-0.0514008306992716,1300.56904667025,0.000281713424169207,0.00223841236255147,1.29999997651998,-3.73130663677733e-07
0.303030303030303,-0.000312497712324699,-0.00207212215561399,0.190627691656614,-0.0614050842627355,1300.56904667025,0.00040624702093596,0.00269375870112183,1.29999995117259,-6.47533422753612e-07
0.353535353535354,-0.000426062288265302,-0.00242561923485893,0.187276886693437,-0.0712598639425227,1300.56904667025,0.000553880961854447,0.0031533047851564,1.29999990923547,-1.03346485040319e-06
0.404040404040404,-0.000557573415346358,-0.00278289785650993,0.183432647229457,-0.080941112136619,1300.56904667025,0.000724845411059778,0.00361776678087799,1.29999984455595,-1.5516697820212e-06
0.454545454545455,-0.000707236112311792,-0.00314451470698376,0.179104336785346,-0.0904251671611194,1300.56904667025,0.000919406887047431,0.00408786833266265,1.29999974990855,-2.22391417108676e-06
0.505050505050505,-0.000875283676219356,-0.00351103305842228,0.174302502710988,-0.099688820644197,1300.56904667025,0.0011378686673229,0.00456434163101006,1.29999961693927,-3.07314953030919e-06
0.555555555555556,-0.00106197803587347,-0.00388302359346286,0.169038851838049,-0.108709375081218,1300.56904667025,0.00138057124701953,0.00504792848187006,1.29999943610138,-4.12368499392999e-06
0.606060606060606,-0.00126761014696332,-0.00426106523215664,0.163326223223302,-0.117464701469879,1300.56904667025,0.00164789285157885,0.00553938137838868,1.29999919658237,-5.40136807864488e-06
0.656565656565657,-0.00149250042904099,-0.00464574596211701,0.157178557981333,-0.125933296913739,1300.56904667025,0.00194025000364827,0.00603946457641987,1.29999888622144,-6.93377526745534e-06
0.707070707070707,-0.00173699924453513,-0.00503766367321479,0.150610866211737,-0.134094342051428,1300.56904667025,0.00225809814442653,0.00654895517544641,1.29999849141719,-8.75041359436694e-06
0.757575757575758,-0.00200148742006791,-0.00543742699837674,0.143639191033819,-0.1419277581378,1300.56904667025,0.00260193230977818,0.00706864420685791,1.29999799702472,-1.08829344687184e-05
0.808080808080808,-0.00228637681042814,-0.00584565616228706,0.136280569751439,-0.149414263573251,1300.56904667025,0.00297228786154411,0.00759933773184074,1.29999738624168,-1.33653610465923e-05
0.858585858585859,-0.00259211090564997,-0.00626298384003125,0.128552992181613,-0.156535429648945,1300.56904667025,0.00336974127459694,0.00814185795143623,1.29999664048241,-1.62343305338138e-05
0.909090909090909,-0.00291916548175602,-0.00669005602795483,0.120475356192856,-0.163273735249854,1300.56904667025,0.00379491098032664,0.00869704433161461,1.29999573923947,-1.95293528911639e-05
0.95959595959596,-0.00326804929584358,-0.00712753292922911,0.112067420512967,-0.169612620234486,1300.56904667025,0.0042484582673924,0.00926575474648485,1.29999465993165,-2.32930875081778e-05
1.01010101010101,-0.00363930482632416,-0.0075760898568187,0.103349754880534,-0.175536537191351,1300.56904667025,0.00473108824074059,0.00984886664300855,1.2999933777375,-2.75716395182368e-05
1.06060606060606,-0.00403350905926695,-0.00803641815672594,0.0943436876300776,-0.181031001257545,1300.56904667025,0.00524355084006483,0.010447278230804,1.29999186541336,-3.24148775450726e-05
1.11111111111111,-0.00445127432194641,-0.0085092261545414,0.0850712508168511,-0.18608263767518,1300.56904667025,0.00578664191906976,0.0110619097008071,1.29999009309481,-3.7876774800334e-05
1.16161616161616,-0.00489324916484999,-0.00899524012845368,0.0755551230038391,-0.190679226757112,1300.56904667025,0.00636120438709389,0.0116937044766963,1.29998802808019,-4.40157755942517e-05
1.21212121212121,-0.00536011929356417,-0.00949520531196244,0.0658185698500723,-0.194809745934728,1300.56904667025,0.00696812941484731,0.012343630503081,1.29998563459497,-5.08951894776225e-05
1.26262626262626,-0.00585260855212193,-0.0100098869295949,0.0558853826557683,-0.198464408567703,1300.56904667025,0.00760835770622275,0.0130126815744997,1.29998287353545,-5.85836154042489e-05
1.31313131313131,-0.00637147995956247,-0.0105400712689451,0.0457798150356431,-0.201634699208635,1300.56904667025,0.00828288083834351,0.0137018787092671,1.29997970219023,-6.71553984896107e-05
1.36363636363636,-0.00691753680162117,-0.0110865667923399,0.0355265179068239,-0.20431340503419,1300.56904667025,0.00899274267221407,0.0144122715721542,1.29997607393771,-7.6691122144957e-05
1.41414141414141,-0.0074916237796335,-0.0116502052913814,0.0251504729917477,-0.206494643178635,1300.56904667025,0.00973904083653841,0.0151449399497776,1.29997193791782,-8.72781385872856e-05
1.46464646464646,-0.00809462821889877,-0.0122318430875353,0.0146769250490655,-0.208173883735004,1300.56904667025,0.0105229282874625,0.0159009952824199,1.29996723867588,-9.9011140965999e-05
