time,q1,u1,q2,u2,total_energy,hip_x,hip_vx,hip_y,hip_vy
3.3121406374,-0.1002015668,-0.1000000000,-0.2002015668,-0.3000000000,999.0862133681,0.1000339745,0.0994984022,0.9949840220,-0.0100033974
3.3626456879,-0.1053934927,-0.1056438028,-0.2152386290,-0.2953923451,999.0862133681,0.1051984863,0.1050576112,0.9944512449,-0.0111135681
3.4131507384,-0.1108771762,-0.1115560065,-0.2300318465,-0.2903493104,999.0862133681,0.1106501331,0.1108709880,0.9938594207,-0.0123436870
3.4636557889,-0.1166665430,-0.1177513812,-0.2445600918,-0.2849053805,999.0862133681,0.1164020634,0.1169509279,0.9932021746,-0.0137065037
3.5141608394,-0.1227762819,-0.1242453737,-0.2588040360,-0.2790972976,999.0862133681,0.1224680591,0.1233101111,0.9924724553,-0.0152160898
3.5646658899,-0.1292218796,-0.1310541391,-0.2727462624,-0.2729640348,999.0862133681,0.1288625489,0.1299614705,0.9916624645,-0.0168879704
3.6151709404,-0.1360196570,-0.1381945740,-0.2863713784,-0.2665467723,999.0862133681,0.1356006203,0.1369181509,0.9907635802,-0.0187392700
3.6656759909,-0.1431868082,-0.1456843503,-0.2996661265,-0.2598888774,999.0862133681,0.1426980291,0.1441934562,0.9897662716,-0.0207888697
3.7161810414,-0.1507414398,-0.1535419483,-0.3126194946,-0.2530358907,999.0862133681,0.1501712055,0.1518007836,0.9886600068,-0.0230575795
3.7666860920,-0.1587026130,-0.1617866908,-0.3252228249,-0.2460355177,999.0862133681,0.1580372570,0.1597535417,0.9874331498,-0.0255683248
3.8171911425,-0.1670903869,-0.1704387774,-0.3374699242,-0.2389376287,999.0862133681,0.1663139666,0.1680650509,0.9860728495,-0.0283463491
3.8472587845,-0.1722951689,-0.1757917793,-0.3445903378,-0.2346869582,999.0862133681,0.1714439850,0.1731889832,0.9851938693,-0.0301384432
3.8977638350,0.1641439496,-0.1574172427,0.3438893940,-0.0181053119,1000.3865885200,0.1794801228,0.1553013349,0.9865586022,0.0257232127
3.9482688855,0.1563877570,-0.1497925349,0.3427544865,-0.0269028376,1000.3865885200,0.1871368998,0.1479645173,0.9877963374,0.0233303476
3.9987739360,0.1490070260,-0.1425459093,0.3411656706,-0.0360725228,1000.3865885200,0.1944317349,0.1409663550,0.9889189786,0.0211618290
4.0492789865,0.1419831169,-0.1356594772,0.3391052925,-0.0455692074,1000.3865885200,0.2013814169,0.1342943792,0.9899373189,0.0191967050
4.0997840370,0.1352982722,-0.1291161870,0.3365579687,-0.0553481520,1000.3865885200,0.2080021066,0.1279362126,0.9908611426,0.0174159483
4.1502890875,0.1289355750,-0.1228997919,0.3335105641,-0.0653650690,1000.3865885200,0.2143093439,0.1218796398,0.9916993178,0.0158022864
4.2007941380,0.1228789094,-0.1169948192,0.3299521679,-0.0755761550,1000.3865885200,0.2203180566,0.1161126644,0.9924598815,0.0143400448
4.2512991885,0.1171129221,-0.1113865385,0.3258740692,-0.0859381255,1000.3865885200,0.2260425735,0.1106235537,0.9931501162,0.0130150043
4.3018042390,0.1116229854,-0.1060609327,0.3212697287,-0.0964082522,1000.3865885200,0.2314966381,0.1054008752,0.9937766204,0.0118142685
4.3523092895,0.1063951626,-0.1010046675,0.3161347508,-0.1069444011,1000.3865885200,0.2366934248,0.1004335236,0.9943453719,0.0107261447
4.4028143400,0.1014161732,-0.0962050638,0.3104668515,-0.1175050744,1000.3865885200,0.2416455556,0.0957107416,0.9948617861,0.0097400329
4.4533193905,0.0966733617,-0.0916500698,0.3042658260,-0.1280494536,1000.3865885200,0.2463651186,0.0912221344,0.9953307687,0.0088463261
4.5038244410,0.0921546655,-0.0873282340,0.2975335129,-0.1385374462,1000.3865885200,0.2508636860,0.0869576796,0.9957567631,0.0080363182
4.5543294916,0.0878485861,-0.0832286802,0.2902737563,-0.1489297341,1000.3865885200,0.2551523336,0.0829077333,0.9961437939,0.0073021212
4.6048345421,0.0837441602,-0.0793410820,0.2824923652,-0.1591878250,1000.3865885200,0.2592416596,0.0790630317,0.9964955066,0.0066365888
4.6553395926,0.0798309324,-0.0756556394,0.2741970709,-0.1692741071,1000.3865885200,0.2631418040,0.0754146916,0.9968152030,0.0060332472
4.7058446431,0.0760989299,-0.0721630560,0.2653974809,-0.1791519054,1000.3865885200,0.2668624676,0.0719542070,0.9971058735,0.0054862326
4.7563496936,0.0725386367,-0.0688545168,0.2561050299,-0.1887855415,1000.3865885200,0.2704129311,0.0686734450,0.9973702265,0.0049902338
4.8068547441,0.0691409707,-0.0657216675,0.2463329282,-0.1981403953,1000.3865885200,0.2738020739,0.0655646397,0.9976107151,0.0045404403
4.8573597946,0.0658972602,-0.0627565944,0.2360961065,-0.2071829689,1000.3865885200,0.2770383920,0.0626203851,0.9978295611,0.0041324953
4.9078648451,0.0627992226,-0.0599518052,0.2254111575,-0.2158809524,1000.3865885200,0.2801300166,0.0598336268,0.9980287768,0.0037624526
4.9583698956,0.0598389434,-0.0573002107,0.2142962744,-0.2242032912,1000.3865885200,0.2830847310,0.0571976539,0.9982101846,0.0034267382
5.0088749461,0.0570088565,-0.0547951075,0.2027711857,-0.2321202542,1000.3865885200,0.2859099883,0.0547060893,0.9983754352,0.0031221146
5.0593799966,0.0543017247,-0.0524301613,0.1908570865,-0.2396035027,1000.3865885200,0.2886129277,0.0523528805,0.9985260236,0.0028456492
5.1098850471,0.0517106220,-0.0501993912,0.1785765666,-0.2466261586,1000.3865885200,0.2912003905,0.0501322898,0.9986633037,0.0025946850
5.1603900976,0.0492289155,-0.0480971546,0.1659535350,-0.2531628729,1000.3865885200,0.2936789363,0.0480388850,0.9987885016,0.0023668145
5.2108951481,0.0468502494,-0.0461181335,0.1530131409,-0.2591898917,1000.3865885200,0.2960548577,0.0460675293,0.9989027278,0.0021598557
5.2614001986,0.0445685283,-0.0442573202,0.1397816915,-0.2646851214,1000.3865885200,0.2983341950,0.0442133721,0.9990069875,0.0019718307
5.3119052491,0.0423779024,-0.0425100054,0.1262865667,-0.2696281895,1000.3865885200,0.3005227508,0.0424718396,0.9991021911,0.0018009457
5.3624102996,0.0402727522,-0.0408717658,0.1125561306,-0.2740005038,1000.3865885200,0.3026261032,0.0408386254,0.9991891623,0.0016455736
5.4129153501,0.0382476749,-0.0393384526,0.0986196400,-0.2777853056,1000.3865885200,0.3046496197,0.0393096823,0.9992686468,0.0015042375
