time,q1,u1,q2,u2,total_energy,hip_x,hip_vx,hip_y,hip_vy
12.6355987696,0.0669711631,-0.1000000000,-0.0330288369,-0.3000000000,1003.3675895348,-0.0669211118,0.0997758270,0.9977582697,0.0066921112
12.6861038201,0.0619923738,-0.0972020291,-0.0480606101,-0.2951747738,1003.3675895348,-0.0619526747,0.0970153125,0.9980790881,0.0060219257
12.7366088706,0.0571485946,-0.0946524711,-0.0628360855,-0.2898515469,1003.3675895348,-0.0571174922,0.0944979475,0.9983674635,0.0054063118
12.7871139211,0.0524274451,-0.0923448719,-0.0773302725,-0.2840370567,1003.3675895348,-0.0524034310,0.0922179897,0.9986259963,0.0048391881
12.8376189716,0.0478168552,-0.0902733816,-0.0915185756,-0.2777402029,1003.3675895348,-0.0477986355,0.0901701984,0.9988569920,0.0043149445
12.8881240221,0.0433050356,-0.0884327416,-0.1053769016,-0.2709719679,1003.3675895348,-0.0432915017,0.0883498344,0.9990624835,0.0038283862
12.9386290726,0.0388804478,-0.0868182722,-0.1188817632,-0.2637453353,1003.3675895348,-0.0388706527,0.0867526594,0.9992442506,0.0033746829
12.9891341231,0.0345317751,-0.0854258624,-0.1320103773,-0.2560752061,1003.3675895348,-0.0345249127,0.0853749347,0.9994038375,0.0029493204
13.0396391737,0.0302478945,-0.0842519600,-0.1447407601,-0.2479783132,1003.3675895348,-0.0302432823,0.0842134204,0.9995425673,0.0025480558
13.0901442242,0.0260178484,-0.0832935643,-0.1570518173,-0.2394731347,1003.3675895348,-0.0260149131,0.0832653740,0.9996615549,0.0021668748
13.1406492747,0.0218308168,-0.0825482183,-0.1689234302,-0.2305798066,1003.3675895348,-0.0218290828,0.0825285485,0.9997617172,0.0018019519
13.1911543252,0.0176760904,-0.0820140041,-0.1803365370,-0.2213200355,1003.3675895348,-0.0176751699,0.0820011920,0.9998437820,0.0014496115
13.2416593757,0.0135430431,-0.0816895379,-0.1912732099,-0.2117170112,1003.3675895348,-0.0135426291,0.0816820465,0.9999082944,0.0011062911
13.2921644262,0.0094211055,-0.0815739673,-0.2017167282,-0.2017953207,1003.3675895348,-0.0094209661,0.0815703472,0.9999556217,0.0007685056
