cycle,time_point,kinetic_energy,potential_energy,total_energy,energy_rate_of_change,cumulative_energy_loss
3,8.0724872925,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.1229923431,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.1734973936,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.2240024441,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.2745074946,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.3250125451,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.3755175956,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.4260226461,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.4765276966,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.5270327471,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.5775377976,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.6280428481,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.6785478986,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.7290529491,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.7795579996,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.8300630501,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.8805681006,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.9310731511,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.9815782016,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.0320832521,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.0825883026,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.1330933532,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.1835984037,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.2341034542,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.2846085047,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.3351135552,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.3856186057,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.4361236562,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.4866287067,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.5371337572,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.5876388077,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.6381438582,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.6886489087,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.7391539592,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.7896590097,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.8401640602,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.8906691107,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.9411741612,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,9.9916792117,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,10.0421842622,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,10.0926893127,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,10.1431943633,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,10.1689492351,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
4,10.1689492351,600.0251577400,400.0167718267,1000.0419295667,0.0000000000,5.0281657421
4,10.2194542856,600.0251577400,400.0167718267,1000.0419295667,0.0000000000,5.0281657421
4,10.2699593361,600.0251577400,400.0167718267,1000.0419295667,0.0000000000,5.0281657421
4,10.3204643866,600.0251577400,400.0167718267,1000.0419295667,0.0000000000,5.0281657421
4,10.3709694371,600.0251577400,400.0167718267,1000.0419295667,0.0000000000,5.0281657421
4,10.4214744876,600.0251577400,400.0167718267,1000.0419295667,0.0000000000,5.0281657421
4,10.4719795381,600.0251577400,400.0167718267,1000.0419295667,0.0000000000,5.0281657421
4,10.5224845886,600.0251577400,400.0167718267,1000.0419295667,0.0000000000,5.0281657421
4,10.5729896392,600.0251577400,400.0167718267,1000.0419295667,0.0000000000,5.0281657421
4,10.6234946897,600.0251577400,400.0167718267,1000.0419295667,0.0000000000,5.0281657421
4,10.6739997402,600.0251577400,400.0167718267,1000.0419295667,0.0000000000,5.0281657421
4,10.7245047907,600.0251577400,400.0167718267,1000.0419295667,0.0000000000,5.0281657421
4,10.7750098412,600.0251577400,400.0167718267,1000.0419295667,0.0000000000,5.0281657421
4,10.7938775549,600.0251577400,400.0167718267,1000.0419295667,0.0000000000,5.0281657421
4,10.8443826054,600.6558334047,400.4372222698,1001.0930556745,20.8122969344,5.0281657421
4,10.8948876559,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,10.9453927064,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,10.9958977569,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.0464028074,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.0969078579,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.1474129084,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.1979179590,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.2484230095,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.2989280600,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.3494331105,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.3999381610,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.4504432115,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.5009482620,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.5514533125,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.6019583630,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.6524634135,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.7029684640,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.7534735145,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.8039785650,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.8544836155,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.9049886660,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,11.9554937165,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,12.0059987670,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,12.0565038175,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,12.1070088680,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,12.1575139185,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,12.2080189691,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,12.2585240196,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,12.3090290701,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,12.3595341206,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,12.4100391711,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,12.4605442216,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,12.5110492721,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,12.5615543226,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,12.6120593731,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
4,12.6355987696,600.6558334047,400.4372222698,1001.0930556745,0.0000000000,5.0281657421
5,12.6355987696,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,12.6861038201,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,12.7366088706,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,12.7871139211,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,12.8376189716,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,12.8881240221,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,12.9386290726,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,12.9891341231,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.0396391737,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.0901442242,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.1406492747,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.1911543252,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.2416593757,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.2921644262,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.3426694767,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.3931745272,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.4436795777,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.4941846282,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.5446896787,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
